Id: a1, Group: adulti, Belt: arancione, Peso: 52
Id: a2, Group: adulti, Belt: arancione, Peso: 59
Id: a3, Group: adulti, Belt: bianca, Peso: 58
Id: a4, Group: adulti, Belt: gialla, Peso: 79
Id: a5, Group: adulti, Belt: gialla, Peso: 68
Id: a6, Group: adulti, Belt: verde, Peso: 94
Id: a7, Group: adulti, Belt: nera, Peso: 93
Id: a8, Group: adulti, Belt: arancione, Peso: 87
Id: a9, Group: adulti, Belt: verde, Peso: 56
Id: a10, Group: adulti, Belt: arancione, Peso: 58
Id: a11, Group: adulti, Belt: marrone, Peso: 86
Id: a12, Group: adulti, Belt: bianca, Peso: 74
Id: a13, Group: adulti, Belt: bianca, Peso: 75
Id: a14, Group: adulti, Belt: gialla, Peso: 100
Id: a15, Group: adulti, Belt: marrone, Peso: 91
Id: a16, Group: adulti, Belt: nera, Peso: 65
Id: a17, Group: adulti, Belt: marrone, Peso: 66
Id: a18, Group: adulti, Belt: marrone, Peso: 63
Id: a19, Group: adulti, Belt: nera, Peso: 62
Id: a20, Group: adulti, Belt: verde, Peso: 55
Id: a21, Group: adulti, Belt: nera, Peso: 87
Id: a22, Group: adulti, Belt: blu, Peso: 78
Id: a23, Group: adulti, Belt: arancione, Peso: 97
Id: a24, Group: adulti, Belt: bianca, Peso: 69
Id: a25, Group: adulti, Belt: nera, Peso: 86
Id: a26, Group: adulti, Belt: gialla, Peso: 75
Id: r1, Group: ragazzi, Belt: gialla, Peso: 70
Id: r2, Group: ragazzi, Belt: verde, Peso: 67
Id: r3, Group: ragazzi, Belt: blu, Peso: 52
Id: r4, Group: ragazzi, Belt: gialla, Peso: 58
Id: r5, Group: ragazzi, Belt: blu, Peso: 66
Id: r6, Group: ragazzi, Belt: verde, Peso: 54
Id: r7, Group: ragazzi, Belt: blu, Peso: 61
Id: r8, Group: ragazzi, Belt: gialla, Peso: 66
Id: r9, Group: ragazzi, Belt: verde, Peso: 63
Id: r10, Group: ragazzi, Belt: blu, Peso: 58
Id: r11, Group: ragazzi, Belt: gialla, Peso: 60
Id: r12, Group: ragazzi, Belt: arancione, Peso: 61
Id: r13, Group: ragazzi, Belt: bianca, Peso: 62
Id: r14, Group: ragazzi, Belt: gialla, Peso: 67
Id: r15, Group: ragazzi, Belt: blu, Peso: 65
Id: r16, Group: ragazzi, Belt: nera, Peso: 51
Id: r17, Group: ragazzi, Belt: arancione, Peso: 64
Id: r18, Group: ragazzi, Belt: gialla, Peso: 61
Id: r19, Group: ragazzi, Belt: verde, Peso: 41
Id: r20, Group: ragazzi, Belt: bianca, Peso: 53
Id: r21, Group: ragazzi, Belt: gialla, Peso: 54
Id: r22, Group: ragazzi, Belt: bianca, Peso: 50
Id: r23, Group: ragazzi, Belt: verde, Peso: 57
Id: r24, Group: ragazzi, Belt: blu, Peso: 60
Id: r25, Group: ragazzi, Belt: bianca, Peso: 58
Id: r26, Group: ragazzi, Belt: nera, Peso: 65
Id: r27, Group: ragazzi, Belt: blu, Peso: 42
Id: r28, Group: ragazzi, Belt: marrone, Peso: 58
Id: r29, Group: ragazzi, Belt: bianca, Peso: 40
Id: r30, Group: ragazzi, Belt: arancione, Peso: 56
Id: r31, Group: ragazzi, Belt: arancione, Peso: 68
Id: r32, Group: ragazzi, Belt: bianca, Peso: 68
Id: r33, Group: ragazzi, Belt: nera, Peso: 43
Id: r34, Group: ragazzi, Belt: verde, Peso: 40
Id: b1, Group: bambini, Belt: bianca, Peso: 29
Id: b2, Group: bambini, Belt: marrone, Peso: 16
Id: b3, Group: bambini, Belt: marrone, Peso: 39
Id: b4, Group: bambini, Belt: marrone, Peso: 10
Id: b5, Group: bambini, Belt: verde, Peso: 15
Id: b6, Group: bambini, Belt: gialla, Peso: 21
Id: b7, Group: bambini, Belt: gialla, Peso: 20
Id: b8, Group: bambini, Belt: marrone, Peso: 23
Id: b9, Group: bambini, Belt: nera, Peso: 35
Id: b10, Group: bambini, Belt: nera, Peso: 25
Id: b11, Group: bambini, Belt: blu, Peso: 24
Id: b12, Group: bambini, Belt: gialla, Peso: 32
Id: b13, Group: bambini, Belt: bianca, Peso: 14
Id: b14, Group: bambini, Belt: marrone, Peso: 20
Id: b15, Group: bambini, Belt: nera, Peso: 38
Id: b16, Group: bambini, Belt: arancione, Peso: 13
Id: b17, Group: bambini, Belt: marrone, Peso: 25
Id: b18, Group: bambini, Belt: nera, Peso: 37
Id: b19, Group: bambini, Belt: marrone, Peso: 20
Id: b20, Group: bambini, Belt: gialla, Peso: 10
Id: b21, Group: bambini, Belt: nera, Peso: 32
Id: b22, Group: bambini, Belt: gialla, Peso: 22
Id: b23, Group: bambini, Belt: verde, Peso: 25
Id: b24, Group: bambini, Belt: bianca, Peso: 11
Id: b25, Group: bambini, Belt: blu, Peso: 25
Id: b26, Group: bambini, Belt: marrone, Peso: 28
Id: b27, Group: bambini, Belt: bianca, Peso: 31
Id: b28, Group: bambini, Belt: bianca, Peso: 22
Id: b29, Group: bambini, Belt: verde, Peso: 37
Id: b30, Group: bambini, Belt: blu, Peso: 18
Id: b31, Group: bambini, Belt: verde, Peso: 32
Id: b32, Group: bambini, Belt: nera, Peso: 24
Id: b33, Group: bambini, Belt: blu, Peso: 11
Id: b34, Group: bambini, Belt: marrone, Peso: 22
Id: b35, Group: bambini, Belt: marrone, Peso: 17
Id: b36, Group: bambini, Belt: blu, Peso: 11
Id: b37, Group: bambini, Belt: nera, Peso: 29
Id: b38, Group: bambini, Belt: blu, Peso: 35
Id: b39, Group: bambini, Belt: arancione, Peso: 19
Id: b40, Group: bambini, Belt: marrone, Peso: 16
