Id: a1, Group: adulti, Belt: verde, Peso: 53
Id: a2, Group: adulti, Belt: nera, Peso: 58
Id: a3, Group: adulti, Belt: nera, Peso: 57
Id: a4, Group: adulti, Belt: gialla, Peso: 71
Id: a5, Group: adulti, Belt: marrone, Peso: 98
Id: a6, Group: adulti, Belt: bianca, Peso: 75
Id: a7, Group: adulti, Belt: gialla, Peso: 60
Id: a8, Group: adulti, Belt: nera, Peso: 74
Id: a9, Group: adulti, Belt: marrone, Peso: 62
Id: a10, Group: adulti, Belt: marrone, Peso: 80
Id: a11, Group: adulti, Belt: nera, Peso: 100
Id: a12, Group: adulti, Belt: verde, Peso: 64
Id: a13, Group: adulti, Belt: blu, Peso: 52
Id: a14, Group: adulti, Belt: gialla, Peso: 99
Id: a15, Group: adulti, Belt: arancione, Peso: 92
Id: a16, Group: adulti, Belt: blu, Peso: 62
Id: a17, Group: adulti, Belt: bianca, Peso: 75
Id: a18, Group: adulti, Belt: nera, Peso: 100
Id: a19, Group: adulti, Belt: blu, Peso: 55
Id: a20, Group: adulti, Belt: bianca, Peso: 80
Id: a21, Group: adulti, Belt: blu, Peso: 91
Id: a22, Group: adulti, Belt: blu, Peso: 74
Id: a23, Group: adulti, Belt: bianca, Peso: 60
Id: a24, Group: adulti, Belt: marrone, Peso: 100
Id: a25, Group: adulti, Belt: nera, Peso: 69
Id: a26, Group: adulti, Belt: gialla, Peso: 61
Id: r1, Group: ragazzi, Belt: arancione, Peso: 49
Id: r2, Group: ragazzi, Belt: nera, Peso: 46
Id: r3, Group: ragazzi, Belt: marrone, Peso: 67
Id: r4, Group: ragazzi, Belt: gialla, Peso: 50
Id: r5, Group: ragazzi, Belt: bianca, Peso: 62
Id: r6, Group: ragazzi, Belt: blu, Peso: 46
Id: r7, Group: ragazzi, Belt: gialla, Peso: 42
Id: r8, Group: ragazzi, Belt: arancione, Peso: 61
Id: r9, Group: ragazzi, Belt: marrone, Peso: 70
Id: r10, Group: ragazzi, Belt: arancione, Peso: 69
Id: r11, Group: ragazzi, Belt: nera, Peso: 65
Id: r12, Group: ragazzi, Belt: blu, Peso: 47
Id: r13, Group: ragazzi, Belt: bianca, Peso: 68
Id: r14, Group: ragazzi, Belt: gialla, Peso: 59
Id: r15, Group: ragazzi, Belt: verde, Peso: 62
Id: r16, Group: ragazzi, Belt: nera, Peso: 55
Id: r17, Group: ragazzi, Belt: marrone, Peso: 44
Id: r18, Group: ragazzi, Belt: arancione, Peso: 40
Id: r19, Group: ragazzi, Belt: marrone, Peso: 58
Id: r20, Group: ragazzi, Belt: blu, Peso: 56
Id: r21, Group: ragazzi, Belt: gialla, Peso: 62
