Id: a1, Group: adulti, Belt: bianca, Peso: 52
Id: a2, Group: adulti, Belt: gialla, Peso: 56
Id: a3, Group: adulti, Belt: verde, Peso: 98
Id: a4, Group: adulti, Belt: arancione, Peso: 59
Id: a5, Group: adulti, Belt: marrone, Peso: 50
Id: a6, Group: adulti, Belt: bianca, Peso: 81
Id: a7, Group: adulti, Belt: arancione, Peso: 64
Id: a8, Group: adulti, Belt: nera, Peso: 56
Id: a9, Group: adulti, Belt: arancione, Peso: 78
Id: a10, Group: adulti, Belt: verde, Peso: 67
Id: a11, Group: adulti, Belt: blu, Peso: 92
Id: a12, Group: adulti, Belt: nera, Peso: 66
Id: a13, Group: adulti, Belt: blu, Peso: 55
Id: a14, Group: adulti, Belt: blu, Peso: 89
Id: a15, Group: adulti, Belt: arancione, Peso: 82
Id: a16, Group: adulti, Belt: marrone, Peso: 53
Id: a17, Group: adulti, Belt: nera, Peso: 87
Id: a18, Group: adulti, Belt: nera, Peso: 96
Id: a19, Group: adulti, Belt: arancione, Peso: 78
Id: a20, Group: adulti, Belt: marrone, Peso: 52
Id: a21, Group: adulti, Belt: verde, Peso: 65
Id: a22, Group: adulti, Belt: marrone, Peso: 66
Id: a23, Group: adulti, Belt: arancione, Peso: 78
Id: a24, Group: adulti, Belt: blu, Peso: 71
Id: a25, Group: adulti, Belt: gialla, Peso: 93
Id: a26, Group: adulti, Belt: gialla, Peso: 59
Id: r1, Group: ragazzi, Belt: gialla, Peso: 49
Id: r2, Group: ragazzi, Belt: bianca, Peso: 52
Id: r3, Group: ragazzi, Belt: verde, Peso: 44
Id: r4, Group: ragazzi, Belt: blu, Peso: 55
Id: r5, Group: ragazzi, Belt: marrone, Peso: 53
Id: r6, Group: ragazzi, Belt: bianca, Peso: 61
Id: r7, Group: ragazzi, Belt: gialla, Peso: 64
Id: r8, Group: ragazzi, Belt: blu, Peso: 66
Id: r9, Group: ragazzi, Belt: marrone, Peso: 70
Id: r10, Group: ragazzi, Belt: marrone, Peso: 67
Id: r11, Group: ragazzi, Belt: arancione, Peso: 64
Id: r12, Group: ragazzi, Belt: nera, Peso: 53
Id: r13, Group: ragazzi, Belt: bianca, Peso: 69
Id: r14, Group: ragazzi, Belt: marrone, Peso: 69
Id: r15, Group: ragazzi, Belt: bianca, Peso: 55
Id: r16, Group: ragazzi, Belt: bianca, Peso: 52
Id: r17, Group: ragazzi, Belt: marrone, Peso: 70
Id: r18, Group: ragazzi, Belt: gialla, Peso: 53
Id: r19, Group: ragazzi, Belt: gialla, Peso: 45
Id: r20, Group: ragazzi, Belt: arancione, Peso: 68
Id: r21, Group: ragazzi, Belt: gialla, Peso: 65
Id: r22, Group: ragazzi, Belt: gialla, Peso: 42
Id: r23, Group: ragazzi, Belt: blu, Peso: 68
Id: r24, Group: ragazzi, Belt: blu, Peso: 43
Id: r25, Group: ragazzi, Belt: arancione, Peso: 57
Id: r26, Group: ragazzi, Belt: gialla, Peso: 44
Id: r27, Group: ragazzi, Belt: nera, Peso: 66
Id: r28, Group: ragazzi, Belt: nera, Peso: 47
Id: r29, Group: ragazzi, Belt: arancione, Peso: 40
Id: r30, Group: ragazzi, Belt: marrone, Peso: 40
Id: r31, Group: ragazzi, Belt: blu, Peso: 67
Id: r32, Group: ragazzi, Belt: gialla, Peso: 68
Id: r33, Group: ragazzi, Belt: gialla, Peso: 47
Id: r34, Group: ragazzi, Belt: bianca, Peso: 60
Id: b1, Group: bambini, Belt: verde, Peso: 14
Id: b2, Group: bambini, Belt: bianca, Peso: 13
Id: b3, Group: bambini, Belt: bianca, Peso: 36
Id: b4, Group: bambini, Belt: bianca, Peso: 17
Id: b5, Group: bambini, Belt: verde, Peso: 19
Id: b6, Group: bambini, Belt: marrone, Peso: 19
Id: b7, Group: bambini, Belt: verde, Peso: 21
Id: b8, Group: bambini, Belt: blu, Peso: 39
Id: b9, Group: bambini, Belt: blu, Peso: 23
Id: b10, Group: bambini, Belt: verde, Peso: 29
Id: b11, Group: bambini, Belt: verde, Peso: 14
Id: b12, Group: bambini, Belt: nera, Peso: 22
Id: b13, Group: bambini, Belt: nera, Peso: 22
Id: b14, Group: bambini, Belt: blu, Peso: 16
Id: b15, Group: bambini, Belt: verde, Peso: 37
Id: b16, Group: bambini, Belt: gialla, Peso: 37
Id: b17, Group: bambini, Belt: blu, Peso: 25
Id: b18, Group: bambini, Belt: bianca, Peso: 24
Id: b19, Group: bambini, Belt: bianca, Peso: 40
Id: b20, Group: bambini, Belt: verde, Peso: 10
Id: b21, Group: bambini, Belt: verde, Peso: 38
Id: b22, Group: bambini, Belt: verde, Peso: 29
Id: b23, Group: bambini, Belt: marrone, Peso: 15
Id: b24, Group: bambini, Belt: arancione, Peso: 12
Id: b25, Group: bambini, Belt: verde, Peso: 38
Id: b26, Group: bambini, Belt: blu, Peso: 26
Id: b27, Group: bambini, Belt: verde, Peso: 39
Id: b28, Group: bambini, Belt: bianca, Peso: 33
Id: b29, Group: bambini, Belt: arancione, Peso: 18
Id: b30, Group: bambini, Belt: marrone, Peso: 38
Id: b31, Group: bambini, Belt: bianca, Peso: 15
Id: b32, Group: bambini, Belt: nera, Peso: 13
Id: b33, Group: bambini, Belt: gialla, Peso: 14
Id: b34, Group: bambini, Belt: arancione, Peso: 33
Id: b35, Group: bambini, Belt: blu, Peso: 28
Id: b36, Group: bambini, Belt: nera, Peso: 14
Id: b37, Group: bambini, Belt: nera, Peso: 23
Id: b38, Group: bambini, Belt: arancione, Peso: 29
Id: b39, Group: bambini, Belt: gialla, Peso: 17
Id: b40, Group: bambini, Belt: blu, Peso: 30
