Id: a1, Group: adulti, Belt: blu, Peso: 99
Id: a2, Group: adulti, Belt: blu, Peso: 84
Id: a3, Group: adulti, Belt: nera, Peso: 79
Id: a4, Group: adulti, Belt: blu, Peso: 96
Id: a5, Group: adulti, Belt: blu, Peso: 75
Id: a6, Group: adulti, Belt: gialla, Peso: 82
Id: a7, Group: adulti, Belt: bianca, Peso: 50
Id: a8, Group: adulti, Belt: verde, Peso: 89
Id: a9, Group: adulti, Belt: verde, Peso: 55
Id: a10, Group: adulti, Belt: marrone, Peso: 86
Id: a11, Group: adulti, Belt: marrone, Peso: 50
Id: a12, Group: adulti, Belt: verde, Peso: 100
Id: a13, Group: adulti, Belt: nera, Peso: 100
Id: a14, Group: adulti, Belt: bianca, Peso: 78
Id: a15, Group: adulti, Belt: arancione, Peso: 97
Id: a16, Group: adulti, Belt: blu, Peso: 56
Id: a17, Group: adulti, Belt: bianca, Peso: 67
Id: a18, Group: adulti, Belt: bianca, Peso: 99
Id: a19, Group: adulti, Belt: marrone, Peso: 66
Id: a20, Group: adulti, Belt: arancione, Peso: 69
Id: a21, Group: adulti, Belt: arancione, Peso: 96
Id: a22, Group: adulti, Belt: bianca, Peso: 96
Id: a23, Group: adulti, Belt: marrone, Peso: 99
Id: a24, Group: adulti, Belt: bianca, Peso: 69
Id: a25, Group: adulti, Belt: marrone, Peso: 69
Id: a26, Group: adulti, Belt: verde, Peso: 69
Id: r1, Group: ragazzi, Belt: marrone, Peso: 56
Id: r2, Group: ragazzi, Belt: marrone, Peso: 55
Id: r3, Group: ragazzi, Belt: marrone, Peso: 55
Id: r4, Group: ragazzi, Belt: marrone, Peso: 45
Id: r5, Group: ragazzi, Belt: marrone, Peso: 70
Id: r6, Group: ragazzi, Belt: marrone, Peso: 55
Id: r7, Group: ragazzi, Belt: nera, Peso: 46
Id: r8, Group: ragazzi, Belt: marrone, Peso: 61
Id: r9, Group: ragazzi, Belt: bianca, Peso: 47
Id: r10, Group: ragazzi, Belt: nera, Peso: 58
Id: r11, Group: ragazzi, Belt: gialla, Peso: 66
Id: r12, Group: ragazzi, Belt: marrone, Peso: 68
