Id: a1, Group: adulti, Belt: marrone, Peso: 64
Id: a2, Group: adulti, Belt: verde, Peso: 80
Id: a3, Group: adulti, Belt: gialla, Peso: 92
Id: a4, Group: adulti, Belt: arancione, Peso: 61
Id: a5, Group: adulti, Belt: verde, Peso: 90
Id: a6, Group: adulti, Belt: verde, Peso: 82
Id: a7, Group: adulti, Belt: blu, Peso: 80
Id: a8, Group: adulti, Belt: gialla, Peso: 50
Id: a9, Group: adulti, Belt: gialla, Peso: 89
Id: a10, Group: adulti, Belt: verde, Peso: 55
Id: a11, Group: adulti, Belt: nera, Peso: 55
Id: a12, Group: adulti, Belt: bianca, Peso: 54
Id: a13, Group: adulti, Belt: bianca, Peso: 81
Id: a14, Group: adulti, Belt: nera, Peso: 78
Id: a15, Group: adulti, Belt: nera, Peso: 76
Id: a16, Group: adulti, Belt: verde, Peso: 50
Id: a17, Group: adulti, Belt: arancione, Peso: 91
Id: a18, Group: adulti, Belt: gialla, Peso: 83
Id: a19, Group: adulti, Belt: verde, Peso: 87
Id: a20, Group: adulti, Belt: nera, Peso: 90
Id: a21, Group: adulti, Belt: bianca, Peso: 50
Id: a22, Group: adulti, Belt: nera, Peso: 80
Id: a23, Group: adulti, Belt: verde, Peso: 99
Id: a24, Group: adulti, Belt: bianca, Peso: 87
Id: a25, Group: adulti, Belt: blu, Peso: 82
Id: a26, Group: adulti, Belt: marrone, Peso: 98
Id: r1, Group: ragazzi, Belt: gialla, Peso: 61
Id: r2, Group: ragazzi, Belt: marrone, Peso: 56
Id: r3, Group: ragazzi, Belt: blu, Peso: 69
Id: r4, Group: ragazzi, Belt: verde, Peso: 45
Id: r5, Group: ragazzi, Belt: bianca, Peso: 47
Id: r6, Group: ragazzi, Belt: gialla, Peso: 52
Id: r7, Group: ragazzi, Belt: gialla, Peso: 50
Id: r8, Group: ragazzi, Belt: gialla, Peso: 57
Id: r9, Group: ragazzi, Belt: gialla, Peso: 52
Id: r10, Group: ragazzi, Belt: verde, Peso: 50
Id: r11, Group: ragazzi, Belt: blu, Peso: 52
Id: r12, Group: ragazzi, Belt: bianca, Peso: 68
Id: r13, Group: ragazzi, Belt: arancione, Peso: 61
Id: r14, Group: ragazzi, Belt: marrone, Peso: 61
Id: r15, Group: ragazzi, Belt: gialla, Peso: 44
Id: r16, Group: ragazzi, Belt: marrone, Peso: 52
Id: r17, Group: ragazzi, Belt: blu, Peso: 62
Id: r18, Group: ragazzi, Belt: verde, Peso: 40
Id: r19, Group: ragazzi, Belt: verde, Peso: 68
Id: r20, Group: ragazzi, Belt: arancione, Peso: 54
Id: r21, Group: ragazzi, Belt: blu, Peso: 60
Id: r22, Group: ragazzi, Belt: arancione, Peso: 60
Id: r23, Group: ragazzi, Belt: verde, Peso: 45
Id: r24, Group: ragazzi, Belt: marrone, Peso: 62
Id: r25, Group: ragazzi, Belt: marrone, Peso: 48
Id: r26, Group: ragazzi, Belt: bianca, Peso: 50
Id: r27, Group: ragazzi, Belt: bianca, Peso: 63
Id: r28, Group: ragazzi, Belt: verde, Peso: 66
