Id: a1, Group: adulti, Belt: nera, Peso: 67
Id: a2, Group: adulti, Belt: blu, Peso: 67
Id: a3, Group: adulti, Belt: verde, Peso: 78
Id: a4, Group: adulti, Belt: verde, Peso: 91
Id: a5, Group: adulti, Belt: marrone, Peso: 63
Id: a6, Group: adulti, Belt: verde, Peso: 60
Id: a7, Group: adulti, Belt: arancione, Peso: 97
Id: a8, Group: adulti, Belt: bianca, Peso: 75
Id: a9, Group: adulti, Belt: verde, Peso: 63
Id: a10, Group: adulti, Belt: blu, Peso: 86
Id: a11, Group: adulti, Belt: marrone, Peso: 77
Id: a12, Group: adulti, Belt: marrone, Peso: 56
Id: a13, Group: adulti, Belt: blu, Peso: 72
Id: a14, Group: adulti, Belt: bianca, Peso: 50
Id: a15, Group: adulti, Belt: nera, Peso: 57
Id: a16, Group: adulti, Belt: nera, Peso: 67
Id: a17, Group: adulti, Belt: blu, Peso: 75
Id: a18, Group: adulti, Belt: nera, Peso: 68
Id: a19, Group: adulti, Belt: blu, Peso: 71
Id: a20, Group: adulti, Belt: arancione, Peso: 63
Id: a21, Group: adulti, Belt: arancione, Peso: 83
Id: a22, Group: adulti, Belt: verde, Peso: 76
Id: a23, Group: adulti, Belt: bianca, Peso: 92
Id: a24, Group: adulti, Belt: gialla, Peso: 69
Id: a25, Group: adulti, Belt: nera, Peso: 96
Id: a26, Group: adulti, Belt: arancione, Peso: 82
Id: r1, Group: ragazzi, Belt: verde, Peso: 48
Id: r2, Group: ragazzi, Belt: bianca, Peso: 52
Id: r3, Group: ragazzi, Belt: verde, Peso: 57
Id: r4, Group: ragazzi, Belt: marrone, Peso: 60
Id: r5, Group: ragazzi, Belt: marrone, Peso: 57
Id: r6, Group: ragazzi, Belt: gialla, Peso: 53
Id: r7, Group: ragazzi, Belt: arancione, Peso: 44
Id: r8, Group: ragazzi, Belt: verde, Peso: 62
Id: r9, Group: ragazzi, Belt: blu, Peso: 58
Id: r10, Group: ragazzi, Belt: blu, Peso: 57
Id: r11, Group: ragazzi, Belt: verde, Peso: 47
Id: r12, Group: ragazzi, Belt: nera, Peso: 48
Id: r13, Group: ragazzi, Belt: blu, Peso: 62
Id: r14, Group: ragazzi, Belt: verde, Peso: 65
Id: r15, Group: ragazzi, Belt: arancione, Peso: 65
Id: r16, Group: ragazzi, Belt: arancione, Peso: 60
Id: r17, Group: ragazzi, Belt: gialla, Peso: 68
Id: r18, Group: ragazzi, Belt: nera, Peso: 60
Id: r19, Group: ragazzi, Belt: arancione, Peso: 68
Id: r20, Group: ragazzi, Belt: marrone, Peso: 54
Id: r21, Group: ragazzi, Belt: blu, Peso: 59
Id: r22, Group: ragazzi, Belt: nera, Peso: 64
Id: r23, Group: ragazzi, Belt: arancione, Peso: 52
Id: r24, Group: ragazzi, Belt: verde, Peso: 61
Id: r25, Group: ragazzi, Belt: verde, Peso: 69
Id: r26, Group: ragazzi, Belt: arancione, Peso: 59
Id: r27, Group: ragazzi, Belt: bianca, Peso: 40
Id: r28, Group: ragazzi, Belt: marrone, Peso: 61
Id: r29, Group: ragazzi, Belt: marrone, Peso: 66
Id: r30, Group: ragazzi, Belt: nera, Peso: 41
Id: r31, Group: ragazzi, Belt: gialla, Peso: 51
Id: r32, Group: ragazzi, Belt: marrone, Peso: 58
Id: r33, Group: ragazzi, Belt: marrone, Peso: 56
Id: r34, Group: ragazzi, Belt: arancione, Peso: 67
Id: b1, Group: bambini, Belt: gialla, Peso: 19
Id: b2, Group: bambini, Belt: verde, Peso: 18
Id: b3, Group: bambini, Belt: gialla, Peso: 29
Id: b4, Group: bambini, Belt: blu, Peso: 16
Id: b5, Group: bambini, Belt: bianca, Peso: 27
Id: b6, Group: bambini, Belt: verde, Peso: 20
Id: b7, Group: bambini, Belt: marrone, Peso: 33
Id: b8, Group: bambini, Belt: nera, Peso: 20
Id: b9, Group: bambini, Belt: gialla, Peso: 13
Id: b10, Group: bambini, Belt: arancione, Peso: 31
Id: b11, Group: bambini, Belt: nera, Peso: 38
Id: b12, Group: bambini, Belt: nera, Peso: 31
Id: b13, Group: bambini, Belt: marrone, Peso: 37
Id: b14, Group: bambini, Belt: bianca, Peso: 27
Id: b15, Group: bambini, Belt: blu, Peso: 38
Id: b16, Group: bambini, Belt: marrone, Peso: 29
Id: b17, Group: bambini, Belt: blu, Peso: 20
Id: b18, Group: bambini, Belt: marrone, Peso: 27
Id: b19, Group: bambini, Belt: nera, Peso: 40
Id: b20, Group: bambini, Belt: nera, Peso: 30
Id: b21, Group: bambini, Belt: nera, Peso: 39
Id: b22, Group: bambini, Belt: gialla, Peso: 38
Id: b23, Group: bambini, Belt: nera, Peso: 32
Id: b24, Group: bambini, Belt: nera, Peso: 16
Id: b25, Group: bambini, Belt: arancione, Peso: 17
Id: b26, Group: bambini, Belt: verde, Peso: 35
Id: b27, Group: bambini, Belt: blu, Peso: 29
Id: b28, Group: bambini, Belt: marrone, Peso: 29
Id: b29, Group: bambini, Belt: marrone, Peso: 37
Id: b30, Group: bambini, Belt: gialla, Peso: 25
Id: b31, Group: bambini, Belt: marrone, Peso: 28
