Id: a1, Group: adulti, Belt: gialla, Peso: 78
Id: a2, Group: adulti, Belt: arancione, Peso: 92
Id: a3, Group: adulti, Belt: gialla, Peso: 51
Id: a4, Group: adulti, Belt: gialla, Peso: 71
Id: a5, Group: adulti, Belt: gialla, Peso: 84
Id: a6, Group: adulti, Belt: gialla, Peso: 70
Id: a7, Group: adulti, Belt: marrone, Peso: 74
Id: a8, Group: adulti, Belt: blu, Peso: 73
Id: a9, Group: adulti, Belt: nera, Peso: 51
Id: a10, Group: adulti, Belt: arancione, Peso: 99
Id: a11, Group: adulti, Belt: gialla, Peso: 82
Id: a12, Group: adulti, Belt: blu, Peso: 78
Id: a13, Group: adulti, Belt: bianca, Peso: 82
Id: a14, Group: adulti, Belt: nera, Peso: 82
Id: a15, Group: adulti, Belt: nera, Peso: 68
Id: a16, Group: adulti, Belt: marrone, Peso: 59
Id: a17, Group: adulti, Belt: arancione, Peso: 82
Id: a18, Group: adulti, Belt: blu, Peso: 78
Id: a19, Group: adulti, Belt: arancione, Peso: 83
Id: a20, Group: adulti, Belt: blu, Peso: 60
Id: a21, Group: adulti, Belt: marrone, Peso: 60
Id: a22, Group: adulti, Belt: gialla, Peso: 89
Id: a23, Group: adulti, Belt: bianca, Peso: 90
Id: a24, Group: adulti, Belt: bianca, Peso: 92
Id: a25, Group: adulti, Belt: verde, Peso: 69
Id: a26, Group: adulti, Belt: arancione, Peso: 90
Id: r1, Group: ragazzi, Belt: blu, Peso: 64
Id: r2, Group: ragazzi, Belt: verde, Peso: 47
Id: r3, Group: ragazzi, Belt: marrone, Peso: 66
Id: r4, Group: ragazzi, Belt: bianca, Peso: 69
Id: r5, Group: ragazzi, Belt: blu, Peso: 41
Id: r6, Group: ragazzi, Belt: blu, Peso: 43
Id: r7, Group: ragazzi, Belt: marrone, Peso: 52
Id: r8, Group: ragazzi, Belt: gialla, Peso: 64
Id: r9, Group: ragazzi, Belt: arancione, Peso: 68
Id: r10, Group: ragazzi, Belt: verde, Peso: 61
Id: r11, Group: ragazzi, Belt: verde, Peso: 60
Id: r12, Group: ragazzi, Belt: nera, Peso: 59
Id: r13, Group: ragazzi, Belt: blu, Peso: 64
Id: r14, Group: ragazzi, Belt: blu, Peso: 50
Id: r15, Group: ragazzi, Belt: gialla, Peso: 47
Id: r16, Group: ragazzi, Belt: nera, Peso: 61
Id: r17, Group: ragazzi, Belt: blu, Peso: 60
Id: r18, Group: ragazzi, Belt: gialla, Peso: 60
Id: r19, Group: ragazzi, Belt: arancione, Peso: 65
Id: r20, Group: ragazzi, Belt: blu, Peso: 51
Id: r21, Group: ragazzi, Belt: blu, Peso: 60
Id: r22, Group: ragazzi, Belt: gialla, Peso: 63
Id: r23, Group: ragazzi, Belt: blu, Peso: 56
Id: r24, Group: ragazzi, Belt: verde, Peso: 55
Id: r25, Group: ragazzi, Belt: marrone, Peso: 50
