------------------------ giorno LUNEDI alle 16 gruppo BAMBINI ------------------------
b1, b10, b11, b12, b13, b14, b15, b19, b2, b20, b21, b22, b23, b25, b26, b27, b28, b29, b30, b31, b32, b33, b34, b35, b39, b4, b40, b5, b6, b7
****************** Randori per PESO ******************
|b1 33Kg| VS |b15 34Kg|
|b1 33Kg| VS |b31 34Kg|
|b10 12Kg| VS |b25 12Kg|
|b10 12Kg| VS |b33 13Kg|
|b11 23Kg| VS |b30 24Kg|
|b12 36Kg| VS |b29 36Kg|
|b12 36Kg| VS |b32 36Kg|
|b12 36Kg| VS |b40 36Kg|
|b13 32Kg| VS |b1 33Kg|
|b13 32Kg| VS |b20 32Kg|
|b14 15Kg| VS |b21 15Kg|
|b14 15Kg| VS |b34 16Kg|
|b14 15Kg| VS |b6 16Kg|
|b15 34Kg| VS |b31 34Kg|
|b19 27Kg| VS |b26 27Kg|
|b19 27Kg| VS |b39 28Kg|
|b19 27Kg| VS |b4 27Kg|
|b2 26Kg| VS |b19 27Kg|
|b2 26Kg| VS |b22 26Kg|
|b2 26Kg| VS |b26 27Kg|
|b2 26Kg| VS |b4 27Kg|
|b20 32Kg| VS |b1 33Kg|
|b21 15Kg| VS |b34 16Kg|
|b21 15Kg| VS |b6 16Kg|
|b22 26Kg| VS |b19 27Kg|
|b22 26Kg| VS |b26 27Kg|
|b22 26Kg| VS |b4 27Kg|
|b25 12Kg| VS |b33 13Kg|
|b26 27Kg| VS |b39 28Kg|
|b26 27Kg| VS |b4 27Kg|
|b27 30Kg| VS |b5 31Kg|
|b29 36Kg| VS |b32 36Kg|
|b29 36Kg| VS |b40 36Kg|
|b32 36Kg| VS |b40 36Kg|
|b33 13Kg| VS |b7 14Kg|
|b34 16Kg| VS |b6 16Kg|
|b35 22Kg| VS |b11 23Kg|
|b4 27Kg| VS |b39 28Kg|
|b5 31Kg| VS |b13 32Kg|
|b5 31Kg| VS |b20 32Kg|
|b7 14Kg| VS |b14 15Kg|
|b7 14Kg| VS |b21 15Kg|

****************** Randori per PESO e CINTURA ********
